Site;Chitons;Samp.time;Temp;Wt.level;Weight;Boulder.area;Exp.side.area;Flu.cover;Live.cca;Live.pey;N_flu.cover;Dead.red.crust;N_flu.others;Asc.cover;Bryo.cover;Spong.cover;Others
Buzios;1;11;30.0;120;2;144.9;208.05;58.57;56.19;2.38;27.62;27.62;0;0.00;0.00;0.95;6.67
Buzios;3;11;30.0;110;6;238.38;495.06;49.64;49.6425;0;36.785;28.93;7.86;0.00;0.00;0.00;3.57
Buzios;1;9;31.0;90;4;155.32;342.59;72.50;72.5;0;2.8575;2.86;0;0.00;0.00;0.00;12.15
Buzios;10;10;30.0;86;15;480.7;698.36;64.29;63.93;0.3575;15.36;14.29;1.07;5.71;1.79;7.14;2.14
Buzios;2;8;30.0;85;4;162.7;172.49;68.93;60.7125;8.2125;15.36;14.65;0.72;0.00;1.07;1.79;4.64
Buzios;0;7;30.0;65;4.5;308.55;233.40;77.50;77.5;0;13.57;13.57;0;4.29;0.00;2.86;1.79
Buzios;6;12;30.0;61;11.5;357.67;199.70;70.71;70.7125;0;9.285;7.5;1.79;3.22;0.00;8.57;2.86
Buzios;0;8;30.0;33;7.5;251.54;265.05;78.93;78.9275;0;11.4275;9.64;1.79;3.22;1.43;3.22;1.79
Buzios;0;5;30.0;37;2;160.88;116.00;54.93;54.9275;0;4.93;4.57;0.36;28.25;1.07;0.00;9.75
Buzios;2;7;30.0;43;2;113.42;137.22;71.75;71.75;0;22.5;22.25;0.25;2.25;0.00;0.00;3.50
Buzios;8;11;30.0;50;20;593.51;639.37;57.50;56.43;1.0725;35.7125;34.29;1.43;2.15;0.00;0.36;3.93
Buzios;2;6;30.0;48;2;98;66.73;65.00;62.145;2.8575;21.43;14.29;7.14;7.50;0.72;0.00;2.50
Buzios;3;9;31.0;83;1.5;93.24;142.81;87.86;79.285;8.57;8.5725;4.65;3.93;0.00;0.00;0.00;0.72
Buzios;4;10;31.0;73;10;349.75;280.30;62.14;61.4275;0.715;17.86;8.22;9.65;3.57;0.00;2.14;3.93
Buzios;6;8;31.0;84;17;412.73;427.26;75.72;35.0025;40.715;12.86;10;2.86;4.65;0.00;0.72;4.63
Buzios;1;5;31.0;43;1.9;160.54;124.69;67.14;67.1425;0;27.855;22.14;5.72;0.72;0.00;0.00;2.14
Buzios;1;6;31.0;50;1.8;116.33;124.16;75.00;74.9975;0;4.2875;4.29;0;11.43;0.00;0.00;9.29
Buzios;7;11;31.0;67;2.5;609.86;201.32;83.81;53.33333333;30.47666667;13.81;11.43;2.38;0.00;0.00;0.00;2.38
Buzios;0;4;31.0;43;2.5;151.11;134.02;76.07;76.07;0;17.145;16.79;0.36;2.14;0.00;0.00;4.64
Buzios;7;9;31.0;47;15.2;372.46;224.30;60.00;53.9275;6.0725;18.5725;17.5;1.07;9.64;7.50;0.00;2.14
Buzios;4;6;31.5;59;4.9;203.4;320.54;59.64;58.215;1.4275;31.4275;21.07;10.36;3.22;0.00;0.00;0.36
Buzios;0;7;31.5;86;1.7;81.15;103.43;72.15;72.145;0;23.9275;18.57;5.36;0.72;0.00;0.00;0.00
Buzios;11;19;31.5;74;25;829.67;586.48;80.71;80.7125;0;7.145;5.72;1.43;7.14;0.00;1.07;3.93
Buzios;5;10;31.0;97;7.5;371.42;183.79;67.86;67.8575;0;11.4325;10.36;1.07;3.22;3.57;0.00;6.42
Buzios;0;8;31.0;94;3.5;200.87;166.77;82.50;82.5;0;10.3575;8.57;1.79;5.00;0.00;0.36;0.36
Buzios;1;7;31.0;90;4;242.7;188.23;51.79;50.3575;1.4275;40.3575;34.29;6.07;1.79;0.00;0.00;1.43
Buzios;3;6;31.0;120;3.8;176.79;178.98;36.79;36.0725;0.715;30.715;16.07;14.64;2.14;0.00;1.43;1.07
Buzios;1;9;31.0;135;9.5;349.01;250.35;45.36;43.5725;1.7875;48.9275;20.36;28.57;0.72;0.00;0.00;3.21
Buzios;15;11;31.0;128;9;504.7;250.10;89.64;89.6425;0;2.5025;1.79;0.72;5.00;0.00;0.00;1.43
