Site;Chiton_F;Samp.time;Temp;Wt.level;Weight;Area.total;Area.lateral;Cov.Flu;Cov.DeathCCAPey;Cov.Others;Cov.Asc;Cov.Bryo;Cov.Spong
Buzios;1;11;30;120;2;144.9;208.05;58.57;27.62;0.00;0.00;0.00;0.95
Buzios;3;11;30;110;6;238.38;495.06;49.64;28.93;7.86;0.00;0.00;0.00
Buzios;1;9;31;90;4;155.32;342.59;72.50;2.86;0.00;0.00;0.00;0.00
Buzios;10;10;30;86;15;480.7;698.36;64.29;14.29;1.07;5.71;1.79;7.14
Buzios;2;8;30;85;4;162.7;172.49;68.93;14.65;0.72;0.00;1.07;1.79
Buzios;0;7;30;65;4.5;308.55;233.40;77.50;13.57;0.00;4.29;0.00;2.86
Buzios;6;12;30;61;11.5;357.67;199.70;70.71;7.50;1.79;3.22;0.00;8.57
Buzios;0;8;30;33;7.5;251.54;265.05;78.93;9.64;1.79;3.22;1.43;3.22
Buzios;0;5;30;37;2;160.88;116.00;54.93;4.57;0.36;28.25;1.07;0.00
Buzios;2;7;30;43;2;113.42;137.22;71.75;22.25;0.25;2.25;0.00;0.00
Buzios;8;11;30;50;20;593.51;639.37;57.50;34.29;1.43;2.15;0.00;0.36
Buzios;2;6;30;48;2;98;66.73;65.00;14.29;7.14;7.50;0.72;0.00
Buzios;3;9;31;83;1.5;93.24;142.81;87.86;4.65;3.93;0.00;0.00;0.00
Buzios;4;10;31;73;10;349.75;280.30;62.14;8.22;9.65;3.57;0.00;2.14
Buzios;6;8;31;84;17;412.73;427.26;75.72;10.00;2.86;4.65;0.00;0.72
Buzios;1;5;31;43;1.9;160.54;124.69;67.14;22.14;5.72;0.72;0.00;0.00
Buzios;1;6;31;50;1.8;116.33;124.16;75.00;4.29;0.00;11.43;0.00;0.00
Buzios;7;11;31;67;2.5;609.86;201.32;83.81;11.43;2.38;0.00;0.00;0.00
Buzios;0;4;31;43;2.5;151.11;134.02;76.07;16.79;0.36;2.14;0.00;0.00
Buzios;7;9;31;47;15.2;372.46;224.30;60.00;17.50;1.07;9.64;7.50;0.00
Buzios;4;6;31.5;59;4.9;203.4;320.54;59.64;21.07;10.36;3.22;0.00;0.00
Buzios;0;7;31.5;86;1.7;81.15;103.43;72.15;18.57;5.36;0.72;0.00;0.00
Buzios;11;19;31.5;74;25;829.67;586.48;80.71;5.72;1.43;7.14;0.00;1.07
Buzios;5;10;31;97;7.5;371.42;183.79;67.86;10.36;1.07;3.22;3.57;0.00
Buzios;0;8;31;94;3.5;200.87;166.77;82.50;8.57;1.79;5.00;0.00;0.36
Buzios;1;7;31;90;4;242.7;188.23;51.79;34.29;6.07;1.79;0.00;0.00
Buzios;3;6;31;120;3.8;176.79;178.98;36.79;16.07;14.64;2.14;0.00;1.43
Buzios;1;9;31;135;9.5;349.01;250.35;45.36;20.36;28.57;0.72;0.00;0.00
Buzios;15;11;31;128;9;504.7;250.10;89.64;1.79;0.72;5.00;0.00;0.00
Buzios;4;10;30.5;105;3;168.28;148.38;50.71;15.00;15.36;10.72;4.29;2.14
Pitangui;0;7;28.5;45;9;356.85;253.56;57.86;0.00;2.86;20.71;9.29;4.65
Pitangui;0;5;28.8;56;3;172.68;94.79;50.00;7.62;23.81;0.00;0.00;9.52
Pitangui;0;6;28.8;30;5.5;227.82;351.50;36.43;0.00;12.86;14.29;9.29;16.79
Pitangui;0;9;29;30;17;462.14;419.33;5.72;1.07;59.65;1.07;0.00;7.50
Pitangui;0;8;29.9;23;8;404.7;192.36;36.07;5.36;32.86;3.93;0.00;14.64
Pitangui;0;6;29.9;28;3;175.21;82.78;73.93;10.71;15.36;0.00;0.00;0.00
Pitangui;0;12;30;42;25;425.12;469.32;33.93;15.00;28.93;3.57;0.00;16.43
Pitangui;0;7;29;10;8;288.75;153.91;13.57;1.43;51.79;1.07;0.00;20.72
Pitangui;0;8;30;14;3;157.86;95.69;48.22;23.22;26.07;0.00;0.00;0.00
Pitangui;2;6;30;9;8;304.82;196.78;45.36;18.22;32.50;0.36;0.00;1.79
Pitangui;0;7;29.9;13;11;458.33;324.25;21.07;14.29;37.50;5.36;0.00;11.43
Pitangui;0;5;29.5;66;3;131.27;225.17;58.58;35.00;4.64;1.07;0.00;0.00
Pitangui;0;8;30;50;10.5;334.97;206.22;65.00;2.86;24.29;0.36;3.93;1.07
Pitangui;0;5;30;58;2.5;177.83;82.05;76.67;6.67;8.57;4.28;0.00;3.81
Pitangui;0;6;30;62;6;314.34;166.94;42.15;20.72;20.36;12.50;2.86;0.00
Pitangui;0;6;29;51;9.9;225.21;178.47;41.79;10.72;46.43;0.72;0.00;0.36
Pitangui;1;6;29;79;13;342.24;242.60;49.29;4.64;17.50;8.22;0.00;20.00
Pitangui;0;7;28.8;86;10;387.42;259.37;68.57;1.43;10.36;18.57;0.36;0.72
Pitangui;1;5;28.5;59;1.5;128.81;60.78;24.65;23.57;26.07;0.00;17.86;7.86
Pitangui;0;6;28.5;78;8;222.59;234.71;54.29;1.07;8.57;16.79;0.00;18.93
Pitangui;3;9;29.8;44;2.5;124.7;87.06;19.65;38.93;26.07;15.00;0.00;0.00
Pitangui;0;10;28;20;7;259.69;194.69;9.65;2.86;30.00;40.36;0.00;17.14
Pitangui;0;9;28;72;5;143.59;169.27;32.50;20.71;10.00;21.07;15.00;0.36
Pitangui;0;6;27.5;9;4;169.09;235.13;31.79;11.43;54.64;0.00;0.00;0.00
Pitangui;0;5;28;27;7.5;270.61;206.03;46.07;10.71;12.50;18.22;0.00;8.21
Pitangui;2;7;28;54;4.5;138.32;123.46;42.86;20.00;7.62;23.81;1.90;2.86
Pitangui;0;10;28;58;6.5;280.17;239.39;60.36;9.64;9.29;17.50;0.36;1.79
Pitangui;0;4;26.8;1;4.5;183.5;188.11;42.50;18.21;34.64;2.86;0.00;1.07
Pitangui;1;9;28;36;5;212.15;225.37;21.43;26.79;10.72;26.79;3.57;8.93
Pitangui;1;5;28;50;1.5;88.71;79.72;82.86;2.86;4.29;6.79;0.00;1.07
Baia Formosa;0;6;30;19;10;317.83;224.95;77.15;11.78;3.22;1.79;4.64;1.43
Baia Formosa;1;6;30.5;8;3.5;111.26;115.79;78.93;0.00;18.22;0.00;0.00;1.07
Baia Formosa;0;5;30.5;15;18;544.45;258.07;72.14;1.79;25.72;0.00;0.00;0.00
Baia Formosa;0;5;30;21;2.5;153.23;120.22;65.72;6.78;26.79;0.00;0.00;0.00
Baia Formosa;0;3;30.5;16;6.5;219.44;184.13;33.33;11.43;53.33;0.00;0.00;0.00
Baia Formosa;1;5;30.8;24;12;429.64;209.89;58.93;0.00;20.72;12.86;0.00;6.43
Baia Formosa;0;4;30.1;34;10;491.69;353.67;52.50;14.29;32.50;0.00;0.00;0.00
Baia Formosa;0;6;30.3;54;17;445.96;342.50;83.93;4.29;6.79;3.93;0.72;0.00
Baia Formosa;0;5;31;41;5;211.67;297.72;36.19;17.14;43.34;1.90;0.00;0.00
Baia Formosa;0;6;31.1;38;8;357.48;125.29;69.52;10.95;19.52;0.00;0.00;0.00
Baia Formosa;0;6;32;22;5;324.23;203.19;59.64;25.36;7.50;3.93;0.00;0.00
Baia Formosa;0;5;31.5;35;2.1;74.72;101.87;41.07;12.14;45.36;0.00;0.00;0.00
Baia Formosa;0;5;34;11;4.5;301.75;170.26;86.79;7.50;3.22;1.43;0.00;0.00
Baia Formosa;0;5;32.5;20;3;151.81;175.85;68.22;17.50;10.36;3.93;0.00;0.00
Baia Formosa;1;9;32.5;39;6;232.58;184.93;64.65;11.07;16.43;4.64;0.00;2.50
Baia Formosa;0;6;30;14;5.2;207.42;217.89;29.65;20.71;42.86;0.00;0.00;0.00
Baia Formosa;0;4;30.4;14;12;347.95;183.45;84.29;0.00;8.22;1.43;0.00;0.72
Baia Formosa;0;6;30;16;3;181.15;157.42;42.86;23.22;30.00;2.50;0.00;0.71
Baia Formosa;0;6;30;16;3;320.96;159.84;64.29;17.14;18.57;0.00;0.00;0.00
Baia Formosa;0;6;30.9;11;3.5;237.87;133.81;43.93;7.15;48.57;0.36;0.00;0.00
Baia Formosa;0;12;31.2;26;16;734.49;324.52;80.00;3.57;14.64;0.00;0.00;1.79
Baia Formosa;0;7;32.7;6;3;206.83;78.94;60.36;9.65;30.00;0.00;0.00;0.00
Baia Formosa;0;7;32;10;5;176.08;165.44;19.65;53.93;25.71;0.72;0.00;0.00
Baia Formosa;0;5;31.5;10;6;183.63;140.52;20.72;39.64;39.64;0.00;0.00;0.00
Baia Formosa;2;13;30.1;26;13;632.97;482.26;63.93;13.57;2.86;6.43;10.36;2.14
Baia Formosa;0;9;31.5;23;5.5;263.99;262.95;79.64;3.22;14.29;1.43;0.00;1.43
Baia Formosa;0;8;31;30;2;116.78;108.72;69.52;15.24;12.86;0.95;0.00;1.43
Baia Formosa;0;6;32;6.5;2.5;201.58;123.27;86.07;5.72;7.86;0.00;0.00;0.00
Baia Formosa;0;6;33;8;2;131.8;72.08;72.85;4.29;5.72;0.48;10.95;0.00
Baia Formosa;0;11;31;33;11;643.89;254.56;69.28;13.93;5.71;8.93;0.00;2.14
Santa Rita;1;8;32.5;11.5;7.5;279.55;106.90;52.38;18.09;11.43;3.33;0.00;2.86
Santa Rita;0;9;32;18.3;4.5;390.72;465.96;47.86;21.43;6.07;17.14;0.00;0.00
Santa Rita;0;7;32.5;7;12.5;345.64;242.05;46.43;27.50;17.14;8.93;0.00;0.00
Santa Rita;3;6;32.9;7.3;4.2;290.98;548.94;33.57;32.15;23.93;7.50;0.00;0.00
Santa Rita;0;8;32;7;3;133.79;156.63;45.71;24.76;21.91;4.29;1.90;0.48
Santa Rita;0;9;32.4;8;11.5;272.83;241.41;69.29;5.36;16.07;7.50;0.00;1.43
Santa Rita;0;8;33;8.7;5.3;266.63;162.64;44.76;30.48;9.04;4.29;0.00;9.53
Santa Rita;0;13;32;17.5;19.5;82.05;100.14;37.14;25.24;24.29;0.00;0.00;10.00
Santa Rita;0;5;32;5;3;290.61;284.28;68.22;8.22;10.00;11.43;1.07;0.36
Santa Rita;0;11;32;5.5;5.5;139.91;228.14;21.07;35.71;26.07;0.36;4.64;7.50
Santa Rita;1;7;33;7.7;3;277.55;259.82;32.86;21.07;32.14;0.36;8.93;0.00
Santa Rita;0;6;33.1;7;4.5;226.03;180.86;64.29;11.07;21.43;1.07;0.00;0.00
Santa Rita;0;7;33;22.3;8;106.8;174.80;65.71;4.64;12.50;0.36;0.00;0.36
Santa Rita;0;6;31.8;12;3.8;300.5;274.83;56.19;10.95;21.91;2.86;0.00;0.95
Santa Rita;1;8;31.5;8.6;5.5;156.85;101.91;70.95;6.19;16.67;2.86;0.00;0.48
Santa Rita;0;8;33;10;8;215.17;147.04;70.00;6.07;21.43;1.43;0.00;1.07
Santa Rita;0;11;32.8;12;17;192.57;175.20;44.64;8.93;28.21;12.50;1.07;4.64
Santa Rita;0;6;30;15.5;11;369.12;490.89;37.86;19.64;19.64;6.79;0.00;16.07
Santa Rita;0;6;33;12.5;11;162.67;242.35;42.14;12.50;10.00;24.29;0.00;10.00
Santa Rita;0;5;32;18;5;130.74;103.45;61.43;10.48;24.76;1.43;0.00;0.00
Santa Rita;1;8;32.8;8.4;7.5;322;211.55;44.64;18.22;31.79;2.50;0.00;0.36
Santa Rita;0;7;31.9;5;3;170.09;398.35;40.71;16.07;31.79;9.29;0.36;0.36
Santa Rita;0;4;32;6;2;503.52;367.76;37.86;7.86;20.36;28.93;0.00;2.14
Santa Rita;1;9;34;11.8;9;244.18;118.51;46.67;23.33;13.81;7.62;0.00;4.76
Santa Rita;1;9;32;3;3;169.39;327.44;43.57;2.50;31.43;2.86;15.00;3.22
Santa Rita;2;6;33;5;8;94.73;170.90;21.79;13.93;25.36;6.43;28.57;3.57
Santa Rita;2;6;33.1;12;7.5;172.06;164.61;7.14;0.00;82.86;0.00;0.00;0.00
Santa Rita;0;6;32.5;10;3.5;350.9;194.50;60.00;4.29;20.71;10.72;0.00;0.00
Santa Rita;0;11;31;32;16;259.75;254.00;17.86;6.43;35.36;30.01;2.50;7.50
Santa Rita;0;7;31.2;21;4;160.39;235.23;17.14;14.29;48.93;5.36;8.57;0.00
