choice;subst;treat;orien;time
0;NA;1;NA;0
1;1;1;4;14.06
0;NA;1;NA;0
1;1;1;2;5.54
1;1;1;1;8.19
0;NA;1;NA;0
0;NA;1;NA;0
0;NA;1;NA;0
0;NA;1;NA;0
0;NA;1;NA;0
0;NA;1;NA;0
0;NA;1;NA;0
1;1;1;1;2.23
1;1;1;4;2.14
0;NA;1;NA;0
0;NA;1;NA;0
0;NA;1;NA;0
0;NA;1;NA;0
0;NA;1;NA;0
0;NA;1;NA;0
0;NA;1;NA;0
0;NA;1;NA;0
0;NA;1;NA;0
0;NA;1;NA;0
0;NA;1;NA;0
1;1;1;4;14.46
0;NA;1;NA;0
0;NA;1;NA;0
0;NA;1;NA;0
0;NA;1;NA;0
0;NA;1;NA;0
0;NA;1;NA;0
1;2;1;2;1.13
0;NA;1;NA;0
0;NA;1;NA;0
1;1;1;3;5.67
0;NA;1;NA;0
0;NA;1;NA;0
0;NA;1;NA;0
0;NA;1;NA;0
1;1;2;3;4.89
0;NA;2;NA;0
1;1;2;4;4.22
0;NA;2;NA;0
1;2;2;4;3.53
0;NA;2;NA;0
1;2;2;3;13.91
1;1;2;1;7.9
1;2;2;4;1.87
0;NA;2;NA;0
1;2;2;3;2.38
0;NA;2;NA;0
0;NA;2;NA;0
0;NA;2;NA;0
0;NA;2;NA;0
0;NA;2;NA;0
1;2;2;3;4.85
0;NA;2;NA;0
1;2;2;1;11.07
0;NA;2;NA;0
1;1;2;4;13
1;1;2;1;9
1;1;2;2;4.12
1;2;2;4;5.9
0;NA;2;NA;0
0;NA;2;NA;0
1;1;2;3;14.41
1;2;2;2;10.85
1;1;2;4;12.04
1;1;2;2;14.15
0;NA;2;NA;0
1;1;2;1;8.21
1;1;2;4;1
1;2;2;1;7.75
0;NA;2;NA;0
0;NA;2;NA;0
1;1;2;4;11.44
0;NA;2;NA;0
0;NA;2;NA;0
0;NA;2;NA;0
