Site;Chiton_F;Samp.time;Temp;Wt.level;Weight;Area;Cov.Flu;Cov.DeathCCAPey;Cov.Others;Cov.Asc;Cov.Bryo;Cov.Spong;F.sand;C.sand;Granule;Pebbles;Cobbles;Boulders;Rug.base;Bryo;Asci;Bival;Crabs;Shrimp;Barna;Worms;Spong;Urchins;Brittle;Coral;Zoanthus;Flatworm;Hermit;Gastro
Buzios;1;11;30;120;2;144.9;58.57;27.62;0;0;0;0.95;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1
Buzios;3;11;30;110;6;238.38;49.64;28.93;7.86;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1
Buzios;1;9;31;90;4;155.32;72.5;2.86;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1
Buzios;10;10;30;86;15;480.7;64.29;14.29;1.07;5.71;1.79;7.14;1;0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;1;0;0;0;1;1
Buzios;2;8;30;85;4;162.7;68.93;14.65;0.72;0;1.07;1.79;1;0;0;1;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1
Buzios;0;7;30;65;4.5;308.55;77.5;13.57;0;4.29;0;2.86;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;1
Buzios;6;12;30;61;11.5;357.67;70.71;7.5;1.79;3.22;0;8.57;0;0;0;1;0;0;1;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0
Buzios;0;8;30;33;7.5;251.54;78.93;9.64;1.79;3.22;1.43;3.22;1;0;0;0;0;0;1;1;1;0;1;0;0;0;1;0;0;0;0;0;0;1
Buzios;0;5;30;37;2;160.88;54.93;4.57;0.36;28.25;1.07;0;1;0;0;0;0;0;1;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0
Buzios;2;7;30;43;2;113.42;71.75;22.25;0.25;2.25;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Buzios;8;11;30;50;20;593.51;57.5;34.29;1.43;2.15;0;0.36;1;0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0
Buzios;2;6;30;48;2;98;65;14.29;7.14;7.5;0.72;0;1;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1
Buzios;3;9;31;83;1.5;93.24;87.86;4.65;3.93;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Buzios;4;10;31;73;10;349.75;62.14;8.22;9.65;3.57;0;2.14;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1
Buzios;6;8;31;84;17;412.73;75.72;10;2.86;4.65;0;0.72;1;0;0;0;0;0;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0
Buzios;1;5;31;43;1.9;160.54;67.14;22.14;5.72;0.72;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1
Buzios;1;6;31;50;1.8;116.33;75;4.29;0;11.43;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Buzios;7;11;31;67;2.5;609.86;83.81;11.43;2.38;0;0;0;0;0;0;0;1;0;1;0;1;1;0;0;0;0;1;1;0;0;0;0;0;1
Buzios;0;4;31;43;2.5;151.11;76.07;16.79;0.36;2.14;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
Buzios;7;9;31;47;15.2;372.46;60;17.5;1.07;9.64;7.5;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1
Buzios;4;6;31.5;59;4.9;203.4;59.64;21.07;10.36;3.22;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1
Buzios;0;7;31.5;86;1.7;81.15;72.15;18.57;5.36;0.72;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1
Buzios;11;19;31.5;74;25;829.67;80.71;5.72;1.43;7.14;0;1.07;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
Buzios;5;10;31;97;7.5;371.42;67.86;10.36;1.07;3.22;3.57;0;1;0;0;0;0;0;0;1;1;0;1;0;0;1;1;0;0;0;0;0;0;0
Buzios;0;8;31;94;3.5;200.87;82.5;8.57;1.79;5;0;0.36;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1
Buzios;1;7;31;90;4;242.7;51.79;34.29;6.07;1.79;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1
Buzios;3;6;31;120;3.8;176.79;36.79;16.07;14.64;2.14;0;1.43;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1
Buzios;1;9;31;135;9.5;349.01;45.36;20.36;28.57;0.72;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;1;1;0;0;0;0;1;1
Buzios;15;11;31;128;9;504.7;89.64;1.79;0.72;5;0;0;1;0;0;0;0;1;1;0;1;0;1;0;0;0;1;0;1;0;0;0;0;1
Buzios;4;10;30.5;105;3;168.28;50.71;15;15.36;10.72;4.29;2.14;1;0;0;0;0;0;1;1;1;0;1;0;0;0;1;1;0;0;0;0;0;1
Pitangui;0;7;28.5;45;9;356.85;57.86;0;2.86;20.71;9.29;4.65;0;1;0;0;0;0;1;1;1;0;1;0;0;0;1;0;0;0;1;0;0;0
Pitangui;0;5;28.8;56;3;172.68;50;7.62;23.81;0;0;9.52;0;0;0;0;1;0;1;0;1;0;1;0;0;1;1;0;0;0;0;0;0;1
